iter	Logloss
0	0.6294512552
1	0.5759374225
2	0.531106083
3	0.4938280378
4	0.4620304168
5	0.4350837829
6	0.4114629352
7	0.3911071777
8	0.3734830584
9	0.357893202
10	0.3447616335
11	0.3325009301
12	0.3218961201
13	0.3127527388
14	0.3047013056
15	0.2983300587
16	0.2926789299
17	0.2868963575
18	0.2817880297
19	0.2773556179
20	0.2733617631
21	0.2699677482
22	0.2670110067
23	0.2639654735
24	0.2617918953
25	0.2596213205
26	0.2574138581
27	0.2557547917
28	0.2540576753
29	0.2527721587
30	0.2516254728
31	0.2501559303
32	0.2487870716
33	0.2475896442
34	0.2463476514
35	0.2449492924
36	0.2441640703
37	0.2433757964
38	0.2423254588
39	0.2419540647
40	0.2413392082
41	0.2407817053
42	0.2401456803
43	0.2399896289
44	0.2398503137
45	0.2393317571
46	0.2388235425
47	0.2384076557
48	0.2381358555
49	0.2376901294
